CORPORATE_IDENTIFICATION_NUMBER,DATE_OF_REGISTRATION,COMPANY_NAME,COMPANY_STATUS,COMPANY_CLASS,COMPANY_CATEGORY,AUTHORIZED_CAPITAL,PAIDUP_CAPITAL,REGISTERED_STATE,REGISTRAR_OF_COMPANIES,PRINCIPAL_BUSINESS_ACTIVITY,REGISTERED_OFFICE_ADDRESS,SUB_CATEGORY
L00019KA1994PLC016200,05-01-1955,CORPORATION BANKK,ACTIVE,Public,Company Limited by Shares,"30,000,000,000.00",NA,Karnataka,RoC-Bangalore,NA,Corporate Office Mangladevi Temple Rd. Post Box No. 88 Mangalore Karnataka INDIA,Indian Non-Government Company
L00019KA1994PLC016202,08-09-1994,JAIN FARMS AND RESORTS LIMITED,ACTIVE,Public,Company Limited by Shares,"30,000,000.00","30,000,000.00",Karnataka,RoC-Bangalore,NA,"NO.59/1, NAKODA ARCADE,III FLOOR,DVG ROAD BANGALORE-4 BANGALORE Karnataka INDIA 560004",Indian Non-Government Company
L00309KA1982PLC004960,20-09-1982,PAN ELECTRONICS (INDIA) LIMITED,ACTIVE,Public,Company Limited by Shares,"100,000,000.00","40,000,000.00",Karnataka,RoC-Bangalore,NA,"NO.69, CUBBONPET III CROSS,BANGALORE-2. BANGALORE-2. Karnataka INDIA",Indian Non-Government Company
L00363KA1982PLC005084,22-12-1982,ELECTREX (INDIA) LIMITED,DORMANT,Public,Company Limited by Shares,"150,000,000.00","94,593,000.00",Karnataka,RoC-Bangalore,NA,"21-DI, 2ND PHASE, PEENYA INDULAREA, BANGALORE-58 BANGALORE Karnataka INDIA",Indian Non-Government Company
L00367KA1993PLC014588,28-07-1993,TULSI CAPITAL MARKET LIMITED,ACTIVE,Public,Company Limited by Shares,"110,000,000.00","46,575,000.00",Karnataka,RoC-Bangalore,Finance,186 DATTA COMPLEX MAIN ROADGANDHI BAZAR BASAVANGUDI. BANGALORE Karnataka INDIA 560004,Indian Non-Government Company
L01111KA1988PLC008861,20-01-1988,SUNIL AGRO FOODS LIMITED,ACTIVE,Public,Company Limited by Shares,"35,000,000.00","30,029,000.00",Karnataka,RoC-Bangalore,Agriculture and Allied Activities,"PLOT NO.39-A2, INDUSTRIAL AREACHOKKAHALLI HOSAKOTE, KARNATAKA Karnataka INDIA 562114",Indian Non-Government Company
L01115KA1970PLC001949,28-09-1970,DAVANGERE SUGAR COMPANY LIMITED,ACTIVE,Public,Company Limited by Shares,"600,000,000.00","368,564,570.00",Karnataka,RoC-Bangalore,Agriculture and Allied Activities,"73/1, POST BOX NO.312,SHAMANUR ROAD, DAVANGERE. SHAMANUR ROAD, DAVANGERE. Karnataka INDIA 577004",Indian Non-Government Company
L01122KA1994PLC016834,26-12-1994,KARUTURI GLOBAL LIMITED,ACTIVE,Public,Company Limited by Shares,"1,100,000,000.00","809,726,648.00",Karnataka,RoC-Bangalore,Agriculture and Allied Activities,"# 204, Embassy Centre,11 Crescent Road Bangalore Karnataka INDIA 560001",Indian Non-Government Company
L01131KA1938PLC000223,28-03-1938,LINGAPUR ESTATES LIMITED,ACTIVE,Public,Company Limited by Shares,"20,000,000.00","15,339,600.00",Karnataka,RoC-Bangalore,Agriculture and Allied Activities,"LAKSHMI COFFEE CURINGWORKS, P B NO.14, BELUR ROAD, HASSAN,KARNATAKA Karnataka INDIA 573201",Indian Non-Government Company
L01131KA1943PLC000833,19-11-1943,TATA COFFEE LIMITED,ACTIVE,Public,Company Limited by Shares,"250,000,000.00","186,770,370.00",Karnataka,RoC-Bangalore,Agriculture and Allied Activities,"POLLIBETTA,KODAGU KARNATAKA KARNATAKA Karnataka INDIA 571215",Indian Non-Government Company
L01131KA1944PLC000351,19-07-1944,THE RAJENDRA COFFEES LIMITED,ACTIVE,Public,Company Limited by Shares,"2,500,000.00","800,000.00",Karnataka,RoC-Bangalore,Agriculture and Allied Activities,"GUNTANAIK ESTATE,BALEHONNUR, MYSORE MYSORE Karnataka INDIA 577112",Indian Non-Government Company
